code_nsf,code_scolarite,sigle_type_formation,libelle_type_formation,libelle_formation_principal,sigle_formation,duree,niveau_de_sortie_indicatif,code_rncp,niveau_de_certification,libelle_niveau_de_certification,tutelle,url_et_id_onisep,domainesous-domaine
336,32033607,BTS,brevet de technicien supérieur,BTS métiers de la coiffure,,2 ans,bac + 2,37963,3,niveau 5,Ministère chargé de l'Éducation nationale,https://www.onisep.fr/http/redirection/formation/slug/FOR.3766,"santé, social, sport/esthétique"
335,23633502,DESJEPS,"diplôme d'État supérieur de la jeunesse, de l'éducation populaire et du sport",DESJEPS spécialité performance sportive mention hockey,,2 ans,bac + 3,,2,niveau 6,Ministère chargé des sports,https://www.onisep.fr/http/redirection/formation/slug/FOR.10491,"santé, social, sport/sport"
312,,MSc,Master of Science,MSc International Marketing,,2 ans,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9588,"commerce, marketing, vente/commerce international | commerce, marketing, vente/marketing, vente"
335,33633502,DEJEPS,"diplôme d'État de la jeunesse, de l'éducation populaire et du sport",DEJEPS spécialité perfectionnement sportif mention disciplines gymniques option B : disciplines gymniques d'expression,,2 ans,bac + 2,37571,3,niveau 5,Ministère chargé des sports,https://www.onisep.fr/http/redirection/formation/slug/FOR.8755,"santé, social, sport/sport"
326,,,formation d'école spécialisée,bachelor ingénierie informatique et électronique,,3 ans,bac + 3,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1242,"informatique, Internet/développement, programmation, logiciel | électricité, électronique, robotique/électronique | informatique, Internet/informatique (généralités) | informatique, Internet/systèmes et réseaux"
200,,mastère spé.,mastère spécialisé,mastère spé. innovation et transformation,,1 an,bac + 6,37630,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4569,"gestion des entreprises, comptabilité/administration de l'entreprise | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/méthodes industrialisation"
134,24132301,DN MADE,diplôme national des métiers d'art et du design,DN MADE mention spectacle,,3 ans,bac + 3,36953,2,niveau 6,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.5503,"arts, culture, artisanat/arts appliqués | arts, culture, artisanat/arts du spectacle"
335,23633502,DESJEPS,"diplôme d'État supérieur de la jeunesse, de l'éducation populaire et du sport",DESJEPS spécialité performance sportive mention sports de contact option A : kick-boxing,,2 ans,bac + 3,36040,2,niveau 6,Ministère chargé des sports,https://www.onisep.fr/http/redirection/formation/slug/FOR.7133,"santé, social, sport/sport"
323,,,formation d'école spécialisée,diplôme de l'École nationale supérieure des métiers de l'image et du son (FEMIS) spécialité scripte,,3 ans,bac + 5,,1,niveau 7,Ministère de la Culture et de la communication,https://www.onisep.fr/http/redirection/formation/slug/FOR.5721,"information-communication, audiovisuel/audiovisuel"
128,,DU,diplôme d'université,DU administration territoriale,,1 an,bac + 2,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9184,"économie, droit, politique/droit (généralités)"
335,20533510,,licence,licence mention sciences et techniques des activités physiques et sportives éducation et motricité,STAPS,3 ans,bac + 3,35972,2,niveau 6,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.4832,"sciences/biologie | santé, social, sport/sport"
233,46X23304,,formation d'école spécialisée,solier / ière,,2 ans,bac ou équivalent,34700,4,niveau 4,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9958,"construction, architecture, travaux publics/finition"
344,,,formation de fonctionnaires (après concours),policier adjoint,,1 an,autre formation,,0,non inscrit au RNCP,Ministère de l'Intérieur,https://www.onisep.fr/http/redirection/formation/slug/FOR.3535,"armée, sécurité/sécurité, prévention"
310,1353103H,,master,master mention management,,2 ans,bac + 5,35917,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.4661,"gestion des entreprises, comptabilité/administration de l'entreprise"
331,16X33107,,formation d'école spécialisée,responsable en management et développement d'entreprise de santé,,2 ans,bac + 5,36699,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9249,"gestion des entreprises, comptabilité/administration de l'entreprise | gestion des entreprises, comptabilité/comptabilité | santé, social, sport/médical | santé, social, sport/paramédical | gestion des entreprises, comptabilité/ressources humaines | santé, social, sport/santé (généralités) | gestion des entreprises, comptabilité/secrétariat | santé, social, sport/travail social"
343,36X20001,,formation d'école spécialisée,animateur qualité sécurité environnement (CESI),,3 ans,bac + 2,36480,3,niveau 5,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.7771,"environnement, énergies, propreté/environnement (généralités) | matières premières, fabrication, industries/maintenance, qualité | armée, sécurité/sécurité, prévention"
200,17020041,,diplôme d'ingénieur,diplôme d'ingénieur de l'École nationale supérieure d'ingénieurs de Bretagne-Sud de l'université de Bretagne-Sud spécialité génie industriel en partenariat avec IFRIA Ouest,ENSIBS,3 ans,bac + 5,35797,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.6939,"mécanique/automatismes | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/génie industriel | matières premières, fabrication, industries/méthodes industrialisation | armée, sécurité/sécurité, prévention"
,,DU,diplôme d'université,DU métiers et concours de contrôleur de finances publiques,,1 an,bac + 1,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.10109,"économie, droit, politique/droit public | économie, droit, politique/sciences politiques"
253,,mastère spé.,mastère spécialisé,mastère spé. Aeronautical Operations and Maintenance,,1 an,bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3449,mécanique/aéronautique
